Raison sociale;SIRET;Code NAF;Libellé NAF;Région;Date de labellisation;Date de fin de labellisation;Univers;geolocetablissement
LAMELLUX;39416082400030;31.01Z;Fabrication de meubles de bureau et de magasin (31.01Z);NOUVELLE AQUITAINE;2022-02-21;2027-02-19;Ameublement et Décoration;45.134782, 1.551099
REPETTO;57200053700025;15.20Z;Fabrication de chaussures (15.20Z);ILE-DE-FRANCE;2022-03-15;2027-03-13;Mode et beauté;46.378032, 4.741548
FRANCE VITRAIL INTERNATIONAL;34410109200031;23.12Z;Façonnage et transformation du verre plat (23.12Z);ILE-DE-FRANCE;2022-03-15;2027-03-13;Architecture et Patrimoine Bâti;48.901891, 2.253808
Orfèvrerie MG et Montibert - Sarl Auscar;41925301800024;32.12Z;Fabrication d’articles de joaillerie et bijouterie (32.12Z);AUVERGNE-RHÔNE-ALPES;2022-04-25;2027-04-23;Arts de la table;45.765271, 4.868513
TISMAIL;39981808700021;14.31Z;Fabrication d’articles chaussants à mailles (14.31Z);GRAND-EST;2022-05-17;2027-05-15;Mode et beauté;48.280737, 4.088614
ISIGNY - SAINTE MÈRE;31775081800013;10.51D;Fabrication d’autres produits laitiers (10.51D);NORMANDIE;2022-06-22;2027-06-20;Gastronomie;49.321365, -1.094511
VERRE LABO MULA;96650344300055;23.19Z;Fabrication et façonnage d’autres articles en verre, y compris verre technique (23.19Z);AUVERGNE-RHÔNE-ALPES;2022-07-06;2027-07-04;Equipements Industriels, Médicaux, Mécaniques;45.777721, 4.942896
K'JACQUES;44398366300024;15.20Z;Fabrication de chaussures (15.20Z);PROVENCE-ALPES-COTE D'AZUR;2022-07-25;2027-07-23;Mode et beauté;43.259736, 6.631545
PAPETERIES LEON MARTIN;41263935300017;17.12Z;Fabrication de papier et de carton (17.12Z);OCCITANIE;2022-10-10;2027-10-08;Equipements Industriels, Médicaux, Mécaniques;42.944761, 1.060903
HERVE BRUNELLE;84779112600018;16.29Z;"Fabrication d’objets divers en bois ; fabrication d’objets en liège, vannerie et sparterie (16.29Z)";HAUTS-DE-FRANCE;2023-04-11;2028-04-08;Mode et beauté;49.192434, 3.169734
DAUM;70202789700314;47.59B;Commerce de détail d’autres équipements du foyer (47.59B);ILE-DE-FRANCE;2023-10-26;2028-10-23;Ameublement et Décoration;48.867253, 2.303535
BOURSON ET FILS;38074557000016;23.70Z;Taille, façonnage et finissage de pierres (23.70Z);HAUTS-DE-FRANCE;2023-10-30;2028-10-27;Architecture et Patrimoine Bâti;49.188322, 2.426828
S.A. TAILLARDAT;34241688000041;31.09B;Fabrication d’autres meubles et industries connexes de l’ameublement (31.09B);ILE-DE-FRANCE;2023-12-20;2028-12-17;Ameublement et Décoration;43.28782897541337, 5.380791350951593
ADAM;51111966100045;16.24Z;Fabrication d’emballages en bois (16.24Z);NOUVELLE AQUITAINE;2023-12-26;2028-12-23;Equipements Industriels, Médicaux, Mécaniques;44.973675, -0.982846
ATELIERS DE TISSAGE DE BUSSIERES ET DE CHALLES;44025274000020;13.20Z;Tissage (13.20Z);AUVERGNE-RHÔNE-ALPES;2024-01-09;2029-01-06;Equipements Industriels, Médicaux, Mécaniques;45.695086, 4.823271
SOC IMPRESSION ETOFFES DU GRAND LEMPS;57362122400019;18.12Z;Autre imprimerie (labeur) (18.12Z);AUVERGNE-RHÔNE-ALPES;2024-01-09;2029-01-06;Equipements Industriels, Médicaux, Mécaniques;45.407418, 5.421573
TANNERIES DU PUY;53394752900012;15.11Z;"Apprêt et tannage des cuirs ; préparation et teinture des fourrures (15.11Z)";AUVERGNE-RHÔNE-ALPES;2024-06-17;2029-06-15;Mode et beauté;45.065895, 3.905585
BERNET CATHERINE;53384986500027;13.92Z;Fabrication d'articles textiles, sauf habillement;NOUVELLE AQUITAINE;2025-02-26;2030-02-24;Ameublement et Décoration;45.88442111306943, 2.174213999595519
A.R.P.B;85403304000015;43.99C;Travaux de maçonnerie générale et gros œuvre de bâtiment;BRETAGNE;2025-02-26;2030-02-24;Architecture et Patrimoine Bâti;48.31000214349404, -3.192416291074124
VANGART;87827752400012;47.78C;Autres commerces de détail spécialisés divers;ILE-DE-FRANCE;2025-03-21;2030-03-19;Ameublement et Décoration;48.869120702334, 2.3313283979764674
LE SOULOR;81915006100029;15.20Z;Fabrication de chaussures (15.20Z);NOUVELLE AQUITAINE;2025-05-26;2030-05-24;Mode et beauté;43.179686, -0.262735
LABORATOIRE LAC;82056859000013;10.71D;Pâtisserie;PROVENCE-ALPES-COTE D'AZUR;2025-06-11;2030-06-09;Gastronomie;43.74699272264349, 7.327356031168933
TOILES DE MAYENNE;73575014300019;13.20Z;Tissage (13.20Z);PAYS-DE-LA-LOIRE;2025-06-11;2030-06-09;Ameublement et Décoration;48.308045, -0.695295
CECILE HENRI ATELIER;32388932900039;13.99Z;Fabrication d'autres textiles n.c.a.;ILE-DE-FRANCE;2025-06-26;2030-06-24;Mode et beauté;48.85918667858045, 2.3703677668710044
Franck Tressens - EPHTEE;43341210300023;15.12Z;Fabrication d’articles de voyage, de maroquinerie et de sellerie (15.12Z);NOUVELLE AQUITAINE;2019-08-30;2024-08-27;Mode et beauté;44.85841268994665, -0.5245658464627083
CONFISERIE DE MÉDICIS;56206478200013;10.82Z;Fabrication de cacao, chocolat et de produits de confiserie;ILE-DE-FRANCE;2019-12-23;2024-12-20;Gastronomie;48.808416, 2.474715
GRAND LARGUE COMPOSITES;49819628600021;22.29A;Fabrication de pièces techniques à base de matières plastiques (22.29A);NORMANDIE;2019-12-23;2024-12-20;Equipements Industriels, Médicaux, Mécaniques;49.184357, -0.33209
HORUS;31839242000036;28.14Z;Fabrication d’autres articles de robinetterie (28.14Z);GRAND-EST;2019-12-23;2024-12-20;Ameublement et Décoration;48.466596, 7.491596
PRUGENT DIAM EUROPE;79004193300025;31.01Z;Fabrication de meubles de bureau et de magasin (31.01Z);OCCITANIE;2019-12-23;2024-12-20;Architecture et Patrimoine Bâti;48.869911, 2.312612
Les Délices d'Alienor;44988875900015;10.71D;Pâtisserie (10.71D);OCCITANIE;2020-07-30;2025-07-28;Gastronomie;43.627439, 0.876905
REVILLON CHOCOLATIER;40728044500047;10.82Z;Fabrication de cacao, chocolat et de produits de confiserie;AUVERGNE-RHÔNE-ALPES;2020-07-30;2025-07-28;Gastronomie;44.733139661, 5.02193163
HOMMEL LUTHIER;79757442300019;32.20Z;Fabrication d’instruments de musique (32.20Z);PROVENCE-ALPES-COTE D'AZUR;2020-07-30;2025-07-28;Culture et Communication;43.293406, 5.377645
ETS L. ANDRÉ & CIE;57211557400012;18.12Z;Autre imprimerie (labeur) (18.12Z);ILE-DE-FRANCE;2021-07-15;2026-07-13;Equipements Industriels, Médicaux, Mécaniques;48.872797, 2.374159
PICHARD-BALME;42300462100037;32.12Z;Fabrication d’articles de joaillerie et bijouterie (32.12Z);PAYS-DE-LA-LOIRE;2021-07-20;2026-07-18;Mode et beauté;48.855931, 2.375296
OLLER ET COMPAGNIE;33578268600018;46.49Z;Commerce de gros (commerce interentreprises) d’autres biens domestiques (46.49Z);GRAND-EST;2021-09-09;2026-09-07;Equipements Industriels, Médicaux, Mécaniques;49.229999, 4.072965
ROUGE PULLON DORURE ET ARGENTURE;56207817000049;25.61Z;Traitement et revêtement des métaux (25.61Z);ILE-DE-FRANCE;2021-09-22;2026-09-20;Arts de la table;43.991896, 4.942744
DIAMANTINO LABO PHOTO;51437807400025;74.20Z;Activités photographiques (74.20Z);ILE-DE-FRANCE;2021-10-05;2026-10-03;Culture et Communication;48.858576, 2.417128
MUZARD;78910020300015;32.99Z;Autres activités manufacturières n.c.a. (32.99Z);AUVERGNE-RHÔNE-ALPES;2021-11-21;2026-11-19;Ameublement et Décoration;45.841492, 3.522016
GLASS GRAVURE ETS SOUCHERE;41175527500020;23.70Z;Taille, façonnage et finissage de pierres (23.70Z);NOUVELLE AQUITAINE;2021-12-28;2026-12-26;Architecture et Patrimoine Bâti;45.63884, 0.199687
FERRONNERIE D'ART GATINAISE;42122087200012;43.32B;Travaux de menuiserie métallique et serrurerie (43.32B);NOUVELLE AQUITAINE;2021-12-28;2026-12-26;Architecture et Patrimoine Bâti;46.654252, -0.086236
LA BOITE D'ACCORDEON;34981181000036;95.29Z;Réparation d’autres biens personnels et domestiques (95.29Z);ILE-DE-FRANCE;2022-03-15;2027-03-13;Culture et Communication;48.856995, 2.434776
CRISTAL ET BRONZE;32475597400031;23.12Z;Façonnage et transformation du verre plat (23.12Z);ILE-DE-FRANCE;2022-03-22;2027-03-20;Equipements Industriels, Médicaux, Mécaniques;48.874379, 2.302654
CREATIONS ROBERT VERNET;38445559800035;74.10Z;Activités spécialisées de design (74.10Z);AUVERGNE-RHÔNE-ALPES;2022-03-23;2027-03-21;Equipements Industriels, Médicaux, Mécaniques;45.77104, 4.880479
LE BORVO;31776186400022;10.20Z;Transformation et conservation de poisson, de crustacés et de mollusques (10.20Z);BOURGOGNE-FRANCHE-COMTÉ;2022-04-04;2027-04-02;Gastronomie;47.90363, 3.55804
WIENERBERGER;54850098200275;23.32Z;Fabrication de briques, tuiles et produits de construction, en terre cuite (23.32Z);BOURGOGNE-FRANCHE-COMTÉ;2022-04-04;2027-04-02;Architecture et Patrimoine Bâti;47.90213783830585, 3.713479024249883
ANCIENS ATELIERS BARTHE-BORDEREAU;07220197300038;23.12Z;Façonnage et transformation du verre plat (23.12Z);PAYS-DE-LA-LOIRE;2022-04-08;2027-04-06;Equipements Industriels, Médicaux, Mécaniques;47.478819, -0.526904
NOUVELLE COMPAGNIE DES DÉTERGENTS ET DU SAVON DE MARSEILLE;79941459400025;20.41Z;Fabrication de savons, détergents et produits d’entretien (20.41Z);PROVENCE-ALPES-COTE D'AZUR;2022-06-21;2027-06-19;Mode et beauté;43.326154, 5.388076
PARQUETERIE JANOD SARL;42003044700015;16.10A;Sciage et rabotage du bois, hors imprégnation (16.10A);BOURGOGNE-FRANCHE-COMTÉ;2022-07-29;2027-07-27;Equipements Industriels, Médicaux, Mécaniques;46.650798, 5.778839
Chantier des Ileaux Sarl;44274041100016;33.15Z;Réparation et maintenance navale (33.15Z);PAYS-DE-LA-LOIRE;2022-10-06;2027-10-04;Loisirs et Transports;46.999207, -2.246297
TRAOU MAD;33294661500025;10.72Z;Fabrication de biscuits, biscottes et pâtisseries de conservation (10.72Z);BRETAGNE;2022-11-28;2027-11-26;Gastronomie;47.879463, -3.775056
DOLIN;74542070300027;11.04Z;Production d'autres boissons fermentées non distillées;AUVERGNE-RHÔNE-ALPES;2022-12-07;2027-12-05;Gastronomie;45.58547, 5.902726
TISSAGE MOUTET;42162967600014;13.20Z;Tissage (13.20Z);NOUVELLE AQUITAINE;2023-01-03;2028-01-01;Arts de la table;43.479626, -0.763213
FILT 1860;57382063600039;13.94Z;Fabrication de ficelles, cordes et filets (13.94Z);NORMANDIE;2023-01-24;2028-01-22;Mode et beauté;49.155411, -0.299045
ELOI SELLERIE;82951438900024;31.09B;Fabrication d’autres meubles et industries connexes de l’ameublement (31.09B);PAYS-DE-LA-LOIRE;2023-02-14;2028-02-12;Ameublement et Décoration;46.666274, -1.352121
SARL UNIP LES METIERS DU PLATRE;41158265300019;43.31Z;Travaux de plâtrerie (43.31Z);PAYS-DE-LA-LOIRE;2023-02-14;2028-02-12;Architecture et Patrimoine Bâti;47.688895, 2.622039
TANNERIES PECHDO;39490530100013;15.11Z;"Apprêt et tannage des cuirs ; préparation et teinture des fourrures (15.11Z)";OCCITANIE;2023-03-31;2028-03-28;Equipements Industriels, Médicaux, Mécaniques;44.091417, 3.049895
SARL SCOP LAINE ET COMPAGNIE;89988565100013;13.92Z;Fabrication d’articles textiles, sauf habillement;NOUVELLE AQUITAINE;2023-04-03;2028-03-31;Ameublement et Décoration;43.963485, 4.931101
STOELZLE MASNIERES PARFUMERIE;81118402700019;23.13Z;Fabrication de verre creux (23.13Z);HAUTS-DE-FRANCE;2023-04-11;2028-04-08;Equipements Industriels, Médicaux, Mécaniques;50.118859, 3.210819
PLACIER S.A.S.;83695003000038;43.91B;Travaux de couverture par éléments (43.91B);CENTRE-VAL-DE-LOIRE;2023-05-17;2028-05-14;Architecture et Patrimoine Bâti;47.817829, -4.379294
AUTO CLASSIQUE TOURAINE;41426259200010;45.20A;Entretien et réparation de véhicules automobiles légers (45.20A);CENTRE-VAL-DE-LOIRE;2023-05-17;2028-05-14;Loisirs et Transports;47.29247, 0.719388
MANUFACTURE DES FORGES;84948560200031;25.72Z;Fabrication de serrures et de ferrures (25.72Z);BRETAGNE;2023-07-11;2028-07-08;Architecture et Patrimoine Bâti;48.440074, -2.854779
Société nouvelle des Ets Braquier;43245181300013;10.82Z;Fabrication de cacao, chocolat et de produits de confiserie;GRAND-EST;2023-07-24;2028-07-21;Gastronomie;49.16033, 5.399091
Les Bijoux Casa-Perez (Manufacture du Grenat);39293251300030;32.12Z;Fabrication d’articles de joaillerie et bijouterie (32.12Z);OCCITANIE;2023-08-08;2028-08-05;Mode et beauté;42.622499, 2.438183
CTN INDUSTRIE;52903481100024;33.20A;Installation de structures métalliques, chaudronnées et de tuyauterie;PAYS-DE-LA-LOIRE;2023-08-10;2028-08-07;Equipements Industriels, Médicaux, Mécaniques;47.123139, -1.504678
PAUL CHAMPS;30321764000026;43.32C;Agencement de lieux de vente (43.32C);BRETAGNE;2023-10-05;2028-10-02;Ameublement et Décoration;48.44085, -4.423247
CULTURE D'OBJET;38466536000044;31.01Z;Fabrication de meubles de bureau et de magasin (31.01Z);PAYS-DE-LA-LOIRE;2023-10-27;2028-10-24;Ameublement et Décoration;46.438583, -0.826025
SOLEV;32806270800016;25.61Z;Traitement et revêtement des métaux (25.61Z);OCCITANIE;2023-11-14;2028-11-11;Equipements Industriels, Médicaux, Mécaniques;44.93263511765621, 1.5886617167555293
SARL NICOLAS BONNET;40394773200018;23.70Z;Taille, façonnage et finissage de pierres;BOURGOGNE-FRANCHE-COMTÉ;2024-03-17;2029-03-15;Architecture et Patrimoine Bâti;49.22595881372839, -0.2199615891844967
SARL DESMONTS;82339738500027;43.32A;Travaux de menuiserie bois et PVC (43.32A);NORMANDIE;2024-04-03;2029-04-01;Architecture et Patrimoine Bâti;43.215955, -0.890828
LEMARIE;81534169800059;14.19Z;Fabrication d’autres vêtements et accessoires (14.19Z);ILE-DE-FRANCE;2024-04-11;2029-04-09;Mode et beauté;48.901326, 2.371746
MANUF COUTELLERIE COGNET;33850453300013;25.71Z;Fabrication de coutellerie (25.71Z);AUVERGNE-RHÔNE-ALPES;2024-06-18;2029-06-16;Arts de la table;45.861145, 3.54825
SOCIETE J.P. ARBEZ;92732076200028;46.72Z;Commerce de gros (commerce interentreprises) de minerais et métaux;HAUTS-DE-FRANCE;2025-01-29;2030-01-27;Equipements Industriels, Médicaux, Mécaniques;49.48985081065809, 2.5680789520386678
PISCINES MAGILINE;43945093300056;32.30Z;Fabrication d'articles de sport;GRAND-EST;2025-02-13;2030-02-11;Equipements Industriels, Médicaux, Mécaniques;47.98875271856363, 2.452407088118648
FABRIQUE DE PARAPLUIES FRANCOIS;90267697200018;32.99Z;Autres activités manufacturières n.c.a.;NOUVELLE AQUITAINE;2025-02-26;2030-02-24;Mode et beauté;46.582386200476904, 0.347151267244174
FAIENCERIE GEORGES;34310993000044;23.41Z;Fabrication d'articles céramiques à usage domestique ou ornemental;Bourgogne-Franche-Comté;2025-07-18;2030-07-16;Arts de la table;47.07426026822264, 3.144951678291276
L'Eau de Cassis;49139829300010;20.53Z;Fabrication d’huiles essentielles (20.53Z);PROVENCE-ALPES-COTE D'AZUR;2019-08-30;2024-08-27;Mode et beauté;43.21431817348548, 5.539244080423037
COGITECH;42948198900029;74.10Z;Activités spécialisées de design (74.10Z);BOURGOGNE-FRANCHE-COMTÉ;2019-12-23;2024-12-20;Ameublement et Décoration;47.281544, 5.010054
ESCALE BLEUE;52971667200017;10.84Z;Fabrication de condiments et assaisonnements (10.84Z);LA REUNION;2020-02-20;2025-02-17;Gastronomie;-21.371675, 55.707192
MICROTOLERIE DALLARD;38264772500029;25.50B;Découpage, emboutissage (25.50B);AUVERGNE-RHÔNE-ALPES;2020-02-20;2025-02-17;Equipements Industriels, Médicaux, Mécaniques;44.693987, 4.794081
BRUN DE VIAN-TIRAN;56262063300015;13.92Z;Fabrication d’articles textiles, sauf habillement (13.92Z);PROVENCE-ALPES-COTE D'AZUR;2020-03-16;2025-03-14;Ameublement et Décoration;43.919401, 5.047727
MPO FRANCE;41279837300012;18.20Z;Reproduction d’enregistrements (18.20Z);PAYS-DE-LA-LOIRE;2020-03-16;2025-03-14;Culture et Communication;48.33859984765556, -0.274497806323454
MECAMO;39408938700010;25.62B;Mécanique industrielle (25.62B);AUVERGNE-RHÔNE-ALPES;2020-03-16;2025-03-14;Equipements Industriels, Médicaux, Mécaniques;45.410548, 4.367656
LAFUMA MOBILIER SAS;79868925300010;31.09B;Fabrication d’autres meubles et industries connexes de l’ameublement (31.09B);AUVERGNE-RHÔNE-ALPES;2020-07-03;2025-07-01;Ameublement et Décoration;45.271287, 4.878065
PAYAN BERTRAND;41555002900011;20.53Z;Fabrication d’huiles essentielles (20.53Z);PROVENCE-ALPES-COTE D'AZUR;2020-07-30;2025-07-28;Mode et beauté;43.659919, 6.932337
FRANCK FABRE;78987076300016;43.99C;Travaux de maçonnerie générale et gros œuvre de bâtiment (43.99C);OCCITANIE;2021-01-14;2026-01-12;Architecture et Patrimoine Bâti;44.525601, 3.500553
F. BASTIN ET FILS;75550111100016;15.11Z;"Apprêt et tannage des cuirs ; préparation et teinture des fourrures (15.11Z)";NOUVELLE AQUITAINE;2021-07-23;2026-07-21;Equipements Industriels, Médicaux, Mécaniques;45.838123, 1.497195
SOCOBA ETABLISSEMENT LEGENDRE;83885087300012;43.99C;Travaux de maçonnerie générale et gros œuvre de bâtiment (43.99C);NOUVELLE AQUITAINE;2021-07-23;2026-07-21;Architecture et Patrimoine Bâti;45.160077, 1.509805
SOIERIES ROGER CHEVAL;96950657500014;13.20Z;Tissage (13.20Z);AUVERGNE-RHÔNE-ALPES;2021-07-28;2026-07-26;Equipements Industriels, Médicaux, Mécaniques;45.629465, 4.857326
COLLINET;48612011600018;31.01Z;Fabrication de meubles de bureau et de magasin (31.01Z);GRAND-EST;2021-09-09;2026-09-07;Ameublement et Décoration;48.581889, 5.461041
MAT - MATHELIN APPRÊTS TEINTURES;49812648100015;13.30Z;Ennoblissement textile (13.30Z);AUVERGNE-RHÔNE-ALPES;2021-10-12;2026-10-10;Equipements Industriels, Médicaux, Mécaniques;45.889113, 4.606294
ENT. PERAUDEAU-DURBECQ;42192827600045;43.32B;Travaux de menuiserie métallique et serrurerie (43.32B);PAYS-DE-LA-LOIRE;2021-10-26;2026-10-24;Architecture et Patrimoine Bâti;46.857444, -1.866371
ENZYME DESIGN;44874815200023;74.10Z;Activités spécialisées de design (74.10Z);ILE-DE-FRANCE;2022-03-15;2027-03-13;Ameublement et Décoration;48.868927, 2.456123
ATELIER SAUTEREL;82073045500020;32.12Z;Fabrication d’articles de joaillerie et bijouterie (32.12Z);AUVERGNE-RHÔNE-ALPES;2022-04-01;2027-03-30;Mode et beauté;45.768791, 4.848973
ATELIER LOUIS DEL BOCA;57222187700036;43.31Z;Travaux de plâtrerie (43.31Z);ILE-DE-FRANCE;2022-05-12;2027-05-10;Architecture et Patrimoine Bâti;48.878798, 2.234495
ETS SETZE ET FILS;75252084100012;43.32A;Travaux de menuiserie bois et PVC (43.32A);NOUVELLE AQUITAINE;2022-05-13;2027-05-11;Ameublement et Décoration;44.559169, 0.85512
POTERIE D'ANDUZE LES ENFANTS DE BOISSET;38068279900016;23.41Z;Fabrication d’articles céramiques à usage domestique ou ornemental (23.41Z);OCCITANIE;2022-10-10;2027-10-08;Ameublement et Décoration;47.52831, 3.065886
MASTER TOILES;35131297000046;13.96Z;Fabrication d’autres textiles techniques et industriels (13.96Z);NOUVELLE AQUITAINE;2022-10-13;2027-10-11;Equipements Industriels, Médicaux, Mécaniques;45.468254, -0.149926
REGNIER;66288034300014;31.09B;Fabrication d’autres meubles et industries connexes de l’ameublement (31.09B);GRAND-EST;2022-11-10;2027-11-08;Ameublement et Décoration;48.836542, 2.346909
LOC MARIA;37934015100081;10.72Z;Fabrication de biscuits, biscottes et pâtisseries de conservation (10.72Z);BRETAGNE;2022-11-28;2027-11-26;Gastronomie;48.134733, -1.688964
HENRI SELMER PARIS;57201828100087;32.20Z;Fabrication d’instruments de musique (32.20Z);ILE-DE-FRANCE;2023-03-28;2028-03-25;Culture et Communication;48.890408, 2.349045
TASSINARI & CHATEL;95750103400111;13.20Z;Tissage (13.20Z);ILE-DE-FRANCE;2023-10-26;2028-10-23;Equipements Industriels, Médicaux, Mécaniques;48.866741, 2.342262
FONDERIE DE LA PLAINE;84337160000019;24.54Z;Fonderie d'autres métaux non ferreux;BOURGOGNE-FRANCHE-COMTÉ;2024-03-17;2029-03-15;Culture et Communication;47.739456, 6.728058
BRONZES DE FRANCE;40132484300044;25.72Z;Fabrication de serrures et de ferrures (25.72Z);ILE-DE-FRANCE;2024-04-11;2029-04-09;Ameublement et Décoration;48.846497, 2.377402
ATELIER D'OFFARD;42486069000033;17.24Z;Fabrication de papiers peints (17.24Z);CENTRE-VAL-DE-LOIRE;2024-04-24;2029-04-22;Ameublement et Décoration;47.409687, 0.68227
ETS CARRE;31070989400029;27.40Z;Fabrication d’appareils d’éclairage électrique (27.40Z);CENTRE-VAL-DE-LOIRE;2024-04-24;2029-04-22;Ameublement et Décoration;48.363187, 1.794745
HUBERT BRAYE;48790323900019;32.20Z;Fabrication d’instruments de musique (32.20Z);GRAND-EST;2024-05-02;2029-04-30;Culture et Communication;47.736034, 7.045548
SOCIETE RIVALIN;33075200700022;15.20Z;Fabrication de chaussures (15.20Z);BRETAGNE;2024-08-21;2029-08-19;Mode et beauté;47.989489, -4.080778
RAGNI;30327547300013;27.40Z;Fabrication d'appareils d'éclairage électrique;PROVENCE-ALPES-COTE D'AZUR;2025-02-06;2030-02-04;Equipements Industriels, Médicaux, Mécaniques;45.832399, 1.257519
BOINET SAS;48388045600015;14.19Z;Fabrication d'autres vêtements et accessoires;CENTRE-VAL-DE-LOIRE;2025-02-19;2030-02-17;Mode et beauté;47.59999890355232, 0.9203313871026697
SELLERIE FLEUR DE LYS;49301581200024;15.12Z;Fabrication d'articles de voyage, de maroquinerie et de sellerie;NOUVELLE AQUITAINE;2025-02-26;2030-02-24;Mode et beauté;50.096854, 2.862921
ATELIER DYNALE;49802988300010;13.99Z;Fabrication d'autres textiles n.c.a.;ILE-DE-FRANCE;2025-03-21;2030-03-19;Mode et beauté;48.818277366200796, 2.284960023113203
ATELIERS BABOUOT;77570353100019;18.14Z;Reliure et activités connexes;ILE-DE-FRANCE;2025-03-21;2030-03-19;Culture et Communication;48.87709840582726, 2.6883980826355534
ATELIER THOMAS VITRAUX;43618051700027;23.19Z;Fabrication et façonnage d'autres articles en verre, y compris verre technique;AUVERGNE-RHÔNE-ALPES;2025-03-27;2030-03-25;Equipements Industriels, Médicaux, Mécaniques;44.937959578867364, 4.931697492923953
IRIS;89851524200037;14.13Z;Fabrication de vêtements de dessus;Auvergne-Rhône-Alpes;2025-06-26;2030-06-24;"Fournitures, Équipements et Matériaux;Haute-couture et prêt-à-porter";45.72898191557233, 4.182814703970127
BOULNOIS CHARLES;44128849500068;90.03A;Création artistique relevant des arts plastiques;Centre-Val de Loire;2025-07-04;2030-07-02;Ameublement et Décoration;47.33970943129431, 0.5121405109025522
Domaine de Saint-Gery;39948871700014;10.13A;Préparation industrielle de produits à base de viande (10.13A);OCCITANIE;2019-08-30;2024-08-27;Gastronomie;44.34334027467773, 1.3032605400110766
Jacquenet Malin;01685091900016;16.29Z;"Fabrication d’objets divers en bois ; fabrication d’objets en liège, vannerie et sparterie (16.29Z)";BOURGOGNE-FRANCHE-COMTÉ;2019-08-30;2024-08-27;Ameublement et Décoration;47.66063655757374, 4.431555572929883
Bouin-Gardon;31114632800019;31.09B;Fabrication d’autres meubles et industries connexes de l’ameublement (31.09B);ILE-DE-FRANCE;2019-08-30;2024-08-27;Ameublement et Décoration;48.85318848191813, 2.3763167484178713
Etablissement public de la Réunion des Musées Nationaux et du Grand Palais des Champs-Elysées;69204158500583;91.02Z;Gestion des musées;ILE-DE-FRANCE;2019-08-30;2024-08-27;Ameublement et Décoration;48.84807751521771, 2.367931594279862
LE TRAVAIL DU BOIS D'OLIVIER;44829020500013;16.29Z;"Fabrication d’objets divers en bois ; fabrication d’objets en liège, vannerie et sparterie";PROVENCE-ALPES-COTE D'AZUR;2019-12-23;2024-12-20;Arts de la table;43.718395, 7.057404
SOCIÉTÉ ALBERTINI ET CIE;69820305600016;23.12Z;Façonnage et transformation du verre plat (23.12Z);ILE-DE-FRANCE;2019-12-23;2024-12-20;Equipements Industriels, Médicaux, Mécaniques;49.001224, 2.208365
FEUTRES DEPLAND SAS;76050058700026;13.96Z;Fabrication d’autres textiles techniques et industriels (13.96Z);NOUVELLE AQUITAINE;2020-02-20;2025-02-17;Equipements Industriels, Médicaux, Mécaniques;45.903762, 0.887891
NEW MAISONNEUVE KEG;84109598700027;25.91Z;Fabrication de fûts et emballages métalliques similaires (25.91Z);NORMANDIE;2020-03-16;2025-03-14;Equipements Industriels, Médicaux, Mécaniques;48.920233, -1.428718
SELLERIE DU MONT VENTOUX;74992221700015;15.12Z;Fabrication d’articles de voyage, de maroquinerie et de sellerie (15.12Z);PROVENCE-ALPES-COTE D'AZUR;2020-07-30;2025-07-28;Equipements Industriels, Médicaux, Mécaniques;45.541228, 4.865291
STN;47050163600034;13.96Z;Fabrication d’autres textiles techniques et industriels (13.96Z);HAUTS-DE-FRANCE;2020-10-01;2025-09-29;Equipements Industriels, Médicaux, Mécaniques;50.766153, 3.018662
AJD CRÉATION;51457092800010;31.09B;Fabrication d’autres meubles et industries connexes de l’ameublement (31.09B);AUVERGNE-RHÔNE-ALPES;2021-07-28;2026-07-26;Ameublement et Décoration;46.34031102313225, 6.356173955284621
MAISON GATTI;39453919100046;31.09A;Fabrication de sièges d’ameublement d’intérieur (31.09A);ILE-DE-FRANCE;2021-09-22;2026-09-20;Ameublement et Décoration;48.303051, 2.82379
SCT Développement;53510925000014;14.13Z;Fabrication de vêtements de dessus (14.13Z);PAYS-DE-LA-LOIRE;2021-11-10;2026-11-08;Mode et beauté;43.472887245908595, -0.9330720349026509
COMPAGNIE FRANÇAISE DE CHAUDRONNERIE;32140893200010;25.29Z;Fabrication d’autres réservoirs, citernes et conteneurs métalliques (25.29Z);HAUTS-DE-FRANCE;2022-03-21;2027-03-19;Equipements Industriels, Médicaux, Mécaniques;50.712753, 2.253598
OPTISUN;33202076700031;32.50B;Fabrication de lunettes (32.50B);AUVERGNE-RHÔNE-ALPES;2022-03-22;2027-03-20;Mode et beauté;46.260942, 5.651231
TUILERIE BLACHE;96750097600022;23.32Z;Fabrication de briques, tuiles et produits de construction, en terre cuite (23.32Z);AUVERGNE-RHÔNE-ALPES;2022-03-24;2027-03-22;Architecture et Patrimoine Bâti;45.561659, 4.799422
GRIPT;51361825600038;32.12Z;Fabrication d’articles de joaillerie et bijouterie (32.12Z);ILE-DE-FRANCE;2022-04-04;2027-04-02;Mode et beauté;48.860363, 2.342882
CREAMANDE;40100974100026;10.82Z;Fabrication de cacao, chocolat et de produits de confiserie;PROVENCE-ALPES-COTE D'AZUR;2022-06-21;2027-06-19;Gastronomie;44.005526, 5.112134
SARL LABASSE ET FILS;30925646900029;23.52Z;Fabrication de chaux et plâtre;NOUVELLE AQUITAINE;2022-10-13;2027-10-11;Architecture et Patrimoine Bâti;49.240451, 4.093496
