﻿Thématique;Sous-thématique;Nom de l'Enquête;Description rapide;Producteur;Types de données;Maille d'étude;Lien;Niveau géographique;Périodicité;Variables;Types d'accès
Transport;PoI;Transports.data.gouv.fr - voitures et scooters en libre service;Jeu de données contenant les flux d'info sur les voitures et scooters en libre service Autopartage Leo&Go;transport.data.gouv;Base de données;Communale;https://transport.data.gouv.fr/datasets/vehicules-en-autopartage-leo-amp-go-dans-la-metropole-de-lyon-disponibilites-temps-reel;Communal;Au fil de l'eau;"code insee ; nom de la commune ; aire couverte";Open data
Innovation et numérique;Start-up,Investissements;CF News;Enquête et bilans sur les deals M&A tous secteurs confondus;CF News;Enquête;Individuelle (Startup);https://www.cfnews.net/;National;Au fil de l'eau;"deals M&A; dette; capital-développement; LBO";Limité
Tourisme durable;Fréquentation;Affluences;Aujourd'hui, Affluences est devenue un acteur incontournable dans la mesure, la prévision et la communication en temps réel de l’affluence (temps d’attente et taux d’occupation des espaces). Nous concevons, installons et maintenons des capteurs de mesure mais aussi les outils permettant d'exploiter les données associées. Grâce à notre algorithme d'analyse prédictive, nous fournissons des prévisions d'affluence afin de permettre aux établissements accueillant du public de mieux gérer leurs flux. Nous proposons également un service de réservation en ligne qui complète notre offre de services pour la gestion de l'affluence.;Affluences;Données en temps réel;Individuelle;https://www.pro.affluences.com/prevoir-et-piloter;National;Au fil de l'eau;;Limité
Sport & JOP;Sport,Loisirs;Indicateurs et analyses 2023;Document de synthèse présentant des indicateurs dans les domaines suivants: social, technique, sécurité, bilan de saison, investissements, charges, prix du forfait;Domaines skiables de France (DSF);Enquête;Individuelle (Secteur Ski);https://www.domaines-skiables.fr/publications/observatoire/;National;Annuelle;Fréquentation, emplois, recette, dépenses, nombre de nuitées, pays de provenance;Open data
Culture;PoI;Base Mémoire;"La base Mémoire est un catalogue de photographies et d'images (gravures, plans, dessins et autres documents graphiques) provenant des archives photographiques de la Médiathèque du patrimoine et de la photographie, des services régionaux de l'Inventaire général du patrimoine culturel, des administrations des monuments historiques et de l'Archéologie.

Elle contient des documents ayant trait à l'architecture civile, militaire, domestique et religieuse, à l'urbanisme, au patrimoine mobilier, aux expositions universelles, à des événements historiques (autochromes de la Première Guerre mondiale), des reportages, des portraits de célébrités et d'anonymes";Ministère de la Culture;Photographie;Individuelle;https://www.pop.culture.gouv.fr/search/mosaic?base=%5B%22Photographies%20%28M%C3%A9moire%29%22%5D;National;Hebdomadaire;"Producteur; Période; Localisation; Technique; Auteur";Open data
Tourisme social;Hébergement,Accessibilité;Tourisme et handicap;Le jeu de données, mis à disposition par la Direction Générale des Entreprises, fournit des informations depuis l'année 2014 sur les établissements bénéficiant de la marque Tourisme &, Handicap qui est l'unique marque d’État attribuée aux professionnels du tourisme œuvrant en faveur de l'accessibilité pour tous.  Tourisme &, Handicap prend en compte les quatre familles de handicaps (auditif, mental, moteur et visuel) et vise à développer une offre touristique adaptée et intégrée à l’offre généraliste.;Direction générale de Entreprises (DGE);Base de données;Individuelle;https://www.data.gouv.fr/fr/datasets/liste-des-etablissements-labellises-tourisme-et-handicap/;National;Au fil de l'eau;"nom_etablissement; cp; region; commune; SIRET; categorie_filiere;departement; handicaps; geocodage";Open data
Economie;Conjoncture,International;Dashboard données touristiques/ Organisation Mondiale du Tourisme;Le tableau de bord de l’OMT de données sur le tourisme fournit des statistiques et un éclairage sur les indicateurs clé du tourisme récepteur et émetteur aux échelons mondial, régional et national. Les données couvrent les arrivées de touristes, la part du tourisme dans les exportations et sa contribution au PIB, les marchés émetteurs, la saisonnalité et l’hébergement (données sur le nombre de chambres, les clients et les nuitées).;Organisation Mondiale du Tourisme (OMT);Dashboard;Nationale;https://www.unwto.org/fr/tableau-tourisme/resultats-du-tourisme-mondial-et-regional;International;Annuelle;"Arrivées et recettes des touristes internationaux et recettes d'exportation; Dépenses et arrivées de touristes internationaux; Saisonnalité; Flux touristiques;
PIB et emploi dans le secteur du tourisme;";Open data
Economie;Conjoncture;France Tourisme Observation;Conjoncture;Atout France;Enquête;;https://toucan-front.tourisme-datahub.fr/;National;Mensuelle;"dépense;  fréquentation; saisonnalité; chiffre d'affaire; emploi";Limité
Sport & JOP;PoI,Loisirs;Vivez sport;catalogue de plusieurs centaines de milliers de lieux, événements et activités touristiques;Ministère des sports et des JOP;Indicateurs;Infra-communale;https://www.vivezsport.fr/a-propos-offres-sportives-vacances;National;Au fil de l'eau;"Département;  adresse; activité";Open data
Données de référence;PoI,Batiment;Base de données nationale des batîments;La BDNB (Base de Données Nationale des Bâtiments) est une cartographie du parc de bâtiments existants. Structurée à la maille « bâtiment », elle contient une carte d’identité pour chacun des 20 millions de bâtiments, résidentiels ou tertiaires. Elle est construite par croisement géospatial d’une vingtaine de base de données issues d’organismes publics.;Centre Scientifique et Technique du Batiment;Base de données;Individuelle (batîment);https://www.data.gouv.fr/fr/datasets/base-de-donnees-nationale-des-batiments/;National;Quadrimestrielle;"batiment_id; code_departement_insee; batiment_groupe_id; code_iris; code_commune_insee; parcelle_unifiee_id; origine";Open data
Tourisme durable;Energie;Open data ENEDIS;7 jeux de Données en open data fournies par Enedis au sujet du marché de l'électricité;ENEDIS;Base de données;;https://data.enedis.fr/pages/accueil/;Communal;Au fil de l'eau;"Données de températures et de pseudo-rayonnement ; Coefficients dynamiques en J+1 ; Coefficients des profils ; Coefficients des gradients de sprofils dynamiques ; coefficients de pertes ; flexibilités déclarées sur les mécanismes de marché par région ; Flexibilités déclarées et activées sur les mécanismes de marché par mois";Open data
Alimentation & Gastronomie;PoI,Label,Produits locaux;Bienvenue à la ferme;"Bienvenue à la ferme est un réseau national d'agriculteurs, qui, rejoint par Marchés des Producteurs de Pays, compte aujourd’hui près de 8 000 adhérents fédérés par les Chambres d’agriculture.

Créé en 1988, Bienvenue à la ferme est aujourd'hui le premier réseau national de vente directe et d’accueil à la ferme.

L’offre Bienvenue à la ferme comprend :

la vente directe de produits fermiers (à la ferme, magasin collectif de producteurs, Drive Fermier, Marchés des Producteurs de Pays) ;
les séjours (gîtes et chambres d’hôte, camping et camping-cars) ;
les loisirs (ferme équestre, découverte et pédagogique) ;
la restauration à la ferme (ferme auberge, goûter / casse-croûte à la ferme, traiteur…).";Bienvenue à la ferme (Chambres d'agriculture);Base de données;Individuelle (Ferme);https://fpassaniti.opendatasoft.com/explore/dataset/bienvenue-a-la-ferme/information/?flg=fr-fr&location=2,47.75162,52.39919&basemap=mapbox.light;National;Au fil de l'eau;"la vente directe de produits fermiers (à la ferme; magasin collectif de producteurs; Drive Fermier; Marchés des Producteurs de Pays) ;
les séjours (gîtes et chambres d’hôte; camping et camping-cars) ;
les loisirs (ferme équestre; découverte et pédagogique) ;
la restauration à la ferme (ferme auberge; goûter / casse-croûte à la ferme; traiteur…).";Open data
Sport & JOP;Fréquentation,Conjoncture,Montagne;Saison touristique d’hiver 2023;Données sur la fréquentation et les performances du secteur touristique d'hiver;INSEE;Enquête;Individuelle (Secteur Ski);https://www.insee.fr/fr/statistiques/7613773#graphique-figure4;National;Ponctuelle;"Indice des prix à la consommation; indice de chiffre d'affaires";Open data
Innovation et numérique;Numérique;Baromètre du numérique;L’Arcep, le Conseil général de l’économie, l’Agence nationale de la cohésion des territoires (ANCT) et depuis cette année l’Arcom – dans le cadre du « Pôle numérique commun Arcep – Arcom » publient les résultats du Baromètre du numérique, une étude annuelle réalisée par le CREDOC sur la diffusion des équipements numériques et l’évolution de leurs usages.;Centre de recherche pour l'étude et l'observation des conditions de vie (CREDOC);Enquête;Individuelle (secteur HCR);https://www.francenum.gouv.fr/guides-et-conseils/strategie-numerique/comprendre-le-numerique/barometre-france-num-2023-ou-en-sont;National;Annuelle;"% d'entreprises du secteur HCR disposant d'un site internet; réseau social: système de référencement; opportunités du numérique.";Open data
Tourisme durable;Nature,Biodiversité;Office Nationale des Forêts;Au service de la société, l'Office prépare avec ses partenaires la forêt et les espaces naturels de demain et agit pour qu'ils participent activement à la résolution des grands enjeux du développement durable : lutte contre les changements climatiques, développement des énergies renouvelables, conservation de la biodiversité, qualité de l'eau, prévention contre les risques naturels... tout en assurant au meilleur niveau la fonction essentielle de production de bois.;Office national des forêts (ONF);Base de données;;https://www.data.gouv.fr/fr/pages/donnees_agriculture-alimentation/;National;Au fil de l'eau;"foret publique; réserves biologiques; parcelle foret publique;biodiversité";Open data
Données de référence;PoI,Massif;Périmètre des Massifs;Cette base de données recense l'ensemble des communes classées dans un massif montagneux. Les massifs, au titre de la loi « montagne » sont au nombre de six : Vosges, Jura, Alpes, Massif central, Pyrénées et Corse. Il existe par ailleurs trois massifs dans les départements d’outre-mer : Martinique, Guadeloupe et Réunion. Quatre massifs insulaires ne sont pas dotés de commissariats à l’aménagement car leur développement ne requiert pas de politique interrégionale puisque le périmètre départemental est confondu avec celui des régions (Guadeloupe, Martinique et Réunion ) ou se confond avec celui de la collectivité territoriale compétente en matière d’aménagement (cas de la Corse). La notion de massif est une approche uniquement française, permettant d’avoir une entité administrative compétente pour mener à bien la politique de la montagne. Cette notion de massif est à différencier de la notion de montagne.;Agence nationale de la cohésion des territoires (ANCT);Base de données;Communale;https://www.data.gouv.fr/fr/datasets/les-perimetres-de-massifs/;National;Au fil de l'eau;"Coordonnées géographique; region; commune";Open data
Economie;Fréquentation,Hébergement;Eurostat / Données Tourisme;"Données mensuelles sur le secteur du tourisme
.";Eurostat;Base de données;Régionale;https://ec.europa.eu/eurostat/fr/web/tourism/data/database;UE;Mensuelle;"Nuitées passées dans des établissements d'hébergement touristique ventilées par origine du client et type d'établissement; 
Arrivées dans des établissements d'hébergement touristique ventilées par origine du client et type d'établissement; 
Taux d'occupation net des places-lits et des chambres dans les hôtels et hébergements similaires";Open data
Economie;Hébergement;INSEE;"L'enquête de fréquentation dans les hébergements touristiques a pour objectif l'observation conjoncturelle de la fréquentation et l'étude de la structure de la clientèle, notamment de son origine géographique.
Elle couvre trois types d’établissements : les hôtels, les campings et les autres hébergements collectifs de tourisme (auberges de jeunesse, centres internationaux de séjour, centres sportifs, résidences de tourisme et résidences hôtelières, maisons familiales de vacances et villages de vacances).";INSEE;Enquête;Communale;https://www.insee.fr/fr/metadonnees/source/serie/s1039;Communal;Annuelle;"Parc des hébergements touristiques; fréquentation et taux d'occupation";Open data
Autres données;Météo,Climat;API Météo & Climat;"Cette page vous permet d'exporter ou de requêter (API) les données météo brutes produites ou récoltées par Infoclimat.

Les données de trois sources sont disponibles :

des stations officielles nationales (RESO40, OMM)
des stations installées par l'Association Infoclimat (réseau StatIC)
des stations des contributeurs au réseau StatIC ayant autorisé la mise à disposition de leurs données";INFOCLIMAT;API;;https://www.infoclimat.fr/opendata/;National;Au fil de l'eau;;Open data
Culture;PoI;Base Palissy;Créée en 1989 et mise en ligne en 2002, Palissy est une base de données du patrimoine mobilier français de la Préhistoire à nos jours (hors des collections de musées de France). En octobre 2020, elle regroupe plus de 515 000 notices.;Ministère de la Culture;Base de données;Individuelle;https://www.culture.gouv.fr/Espace-documentation/Bases-de-donnees/Fiches-bases-de-donnees/Palissy-un-recensement-du-patrimoine-mobilier-francais-de-la-Prehistoire-a-nos-jours;National;Au fil de l'eau;"Localisation; Numéro INSEE de la commune; Aire d'étude pour le domaine Inventaire; Adresse de l'édifice;  Village Nom de l'édifice; Référence Mérimée de l'édifice; 
Milieu d'implantation pour le domaine Inventaire";Open data
Economie;Hébergement;INSEE;Ce fichier contient les principaux indicateurs sur les capacités des communes en hébergement touristique (hôtels, campings et autres hébergements collectifs). Il contient également la répartition des emplacements de campings selon qu'ils sont loués à l'année ou offerts à une clientèle de passage.;INSEE;Enquête;Communale;https://www.insee.fr/fr/statistiques/2021703;Communal;Annuelle;"Nombre d'hôtels en 2023 classés selon le nombre d'étoiles - France (hors Mayotte) ;
Nombre de chambres dans les hôtels en 2023 selon le nombre d'étoiles - France (hors Mayotte) ;
Nombre de terrains de camping classés selon le nombre d'étoiles en 2023 - France (hors Mayotte) ;
Nombre d'emplacements de camping selon le nombre d'étoiles en 2023 - France (hors Mayotte) ;";Open data
Culture;PoI;Données établissements culturels  (Base BASILIC);BASILIC: Cette base géocodée des sites, lieux et équipements culturels est conçue et administrée par le département des études, de la prospective, des statistiques et de la documentation du ministère de la Culture. Elle alimente notamment la base permanente des équipements de l’Insee et l'Atlas Culture des territoires. L'API data.gouv offre un grand nombre de données relatives à la culture (festival, infrastructure touristique,...) à l'adresse suivante : https://www.data.gouv.fr/fr/pages/donnees_culture/;Ministère de la Culture;Base de données;Infra-communale;https://www.data.gouv.fr/fr/datasets/base-des-lieux-et-equipements-culturels-basilic/;National;Au fil de l'eau;"Rang; Type équipement ou lieu; Précision équipement; Nom; Label et appellation; Domaine; Sous-domain; Adresse; Complement Adresse;libelle_geographique; 
Code Postal; Adresse postale; code_insee; Code Insee Arrondt; Libelle_EPCI;  Code_Insee_EPCI; Département;
N_Département; Région";Open data
Transport;PoI,Voiture;Transports.data.gouv.fr - Lieux de covoiturage;Description des aires de covoiturage en France;transport.data.gouv;Base de données;;https://transport.data.gouv.fr/datasets/base-nationale-des-lieux-de-covoiturage;National;Au fil de l'eau;"id_lieu; id_local ; nom_lieu ; ad_lieu ; adresse ; com_lieu; commune ;code_commune_insee ;date_maj ;date; ouvert ; source ; siren ;Xlong ;longitude_wgs_fr_metropole ;Ylat ; latitude_wgs_fr_metropole ; nbre_pl ; int ;nbre_pmr ;duree; horaires ; proprio ;lumiere ;  ;comm";Open data
Tourisme durable;Eau;Hub'Eau;Données relatives à l'eau;Eau France;Base de données;;https://bnpe.eaufrance.fr/;Communal;Annuelle;"prélèvements en eau; qualité de l'eau potable;hydrométrie";Open data
Transport;Vélo,PoI;Transports.data.gouv.fr - réseaux cyclables;11 jeux de données sur les réseaux cyclables;transport.data.gouv;Base de données;Communale;https://transport.data.gouv.fr/datasets?type=bike-way;Communal;Au fil de l'eau;"Aménagements cyclables - Tours Métropole ; Base Nationale des Aménagements Cyclables - Export national OpenStreetMap  ; Aménagements cyclables - Montpellier Méditerranée Métropole  ; Aménagements cyclables - Strasbourg Eurométropole ;  Aménagements cyclables - Ouest Cornouaille
Aménagements cyclables - Ouest Cornouaille ; Aménagements cyclables - Lesneven Côte des Légendes ;  Aménagements cyclables - Rouen Métropole
Aménagements cyclables - Rouen Métropole ; Aménagements cyclables - Charente-Maritime ;  Aménagements cyclables - Metz
Aménagements cyclables - Metz ;  Aménagements cyclables - Aix en Provence
Aménagements cyclables - Aix en Provence";Open data
Innovation et numérique;Start-up;Data Room;Données sur les start up (pas spécialement tourisme) et les investisseurs en France et à l'international : but = connecter les SU avec les investisseurs;Angel List;Base de données;Individuelle (Startup);https://www.angellist.com/;National;Au fil de l'eau;"Investissements; gains financiers; données financières sur les startups";Limité
Alimentation & Gastronomie;PoI,Label,Bio;Agriculture biologique;Parcelles en Agriculture Biologique (AB) déclarées à la PAC;Agence française pour le développement et la promotion de l'agriculture biologique (Agence Bio);Base de données;Communale;https://www.data.gouv.fr/fr/pages/donnees_agriculture-alimentation/;National;Annuelle;"Surfaces; cheptels et nombre d’opérateurs bio à la commune; Historique détaillé des surfaces; cheptels et nombre d’opérateurs par département; 
Répartition régionale des surfaces et cheptels bio et en conversion; Professionnels engagés en bio";Open data
Culture;PoI,Musée;Musées de France : base Muséofile;La base Muséofile répertorie les musées bénéficiant de l'appellation « musée de France » au sens du Code du Patrimoine (1220 environ). Elle est accessible sur la Plateforme Ouverte du Patrimoine. Les données de cette base sont liées à celles de la base Joconde, catalogue collectif des collections des musées de France.;Ministère de la Culture;Base de données;;https://www.data.gouv.fr/fr/datasets/musees-de-france-base-museofile/;National;Au fil de l'eau;"Var : REF : Identifiant du musée ; NOMOFF : Nom officiel du musée ; AUTNOM remplace NOMUSAGE : Nom d’usage du musée ; ADRL1_M : Adresse (ligne 1) ; LIEU_M : Adresse (ligne 2) ; CP_M : Code Postal ; VILLE_M : Ville ; DPT : Département ; REGION : Région ; URL_M : Adresse du site ou de la page du site internet ; TEL_M : Téléphone générique du musée ; CATEG : Catégorie spécifique de musée ; DOMPAL : Principaux domaines thématiques des collections ; HIST : Histoire de la collection ; ATOUT : Atouts de la collection ; THEMES : Détails des domaines thématiques des collections ; ARTISTE : Artistes phares de la collection ; PHARE : Personnages phares de la collection ; INTERET : Caractéristique architecturale du bâtiment ; PROT-BAT : Type de protection du bâtiment ; PROT-ESP : Type de protection de l’espace ; REFMER : référence dans la base Mérimée ; AN-CREAT : année de création ; DMAJ : Date de dernière mise à jour de l’information ; Latitude ; Longitude.";Open data
Innovation et numérique;Start-up;MotherBase;Données sur les start-ups tous secteurs confondus, national, international;MotherBase;Base de données;;https://beta.motherbase.ai/;National;Au fil de l'eau;"Fonds levés; nombre d'emplois; technologie; liens corporates; santé";Limité
Transport;Transport collectif;Transports.data.gouv.fr - autocars longue distance;3 jeux de données sur les autocars longue distance;transport.data.gouv;Base de données;;https://transport.data.gouv.fr/datasets/region/14?modes%5B%5D=bus;National;Au fil de l'eau;"Réseau européen BlaBlaCarBus ; Réseau européen FlixBus ; Réseau national TER SNCF";Open data
Sport & JOP;PoI;Sportradar;Données sur les événements sportifs de plus de 30 sports à l'échelle mondiale et système de détection des fraudes;SportsRadar API;API;;https://developer.sportradar.com/api_gallery;International;En temps réel;"Scores; transactions; nouvelles; rapport quotidien";Limité
Tourisme social;PoI,hébergement;Tourisme et handicap;Le label Tourisme & Handicap contribue à mieux répondre aux besoins des personnes en situation de handicap, quel que soit le handicap : moteur, visuel, auditif et mental, afin de permettre à chacun de choisir ses vacances et ses loisirs en toute liberté;DGE;Base de données;Individuelle;Etablissements labellisés Tourisme et Handicap — Ministère de l’Économie, des Finances et de l’Industrie;National;Au fil de l'eau;"Nom du professionnel; Partenaires; Activité du professionnel; Ville; Code postal du professionnel; Site Web";Open data
Transport;PoI,Fréquentation,Voiture;Bison futé;"La Direction des Infrastructures de Transport met à disposition des données sur la circulation enregistrées en temps réel sur le réseau routier national (RRN). Elles sont publiées sur une page internet dans des fichiers structurés suivant le format de la norme européenne Datex II.

Les données sont produites par les services routiers de l’État (les directions interdépartementales des routes - DIR) et par les sociétés concessionnaires d’autoroutes (SCA).

Les données sur la circulation comprennent les données relatives aux événements routiers (accidents, obstacles, bouchons,...) et les données sur le trafic (intensité du trafic, vitesse, temps de parcours)";data.gouv.fr;Données en temps réel;;https://www.bison-fute.gouv.fr/donnees-sur-le-rrn.html;National;Au fil de l'eau;;Open data
Transport;Transport;Le Point d’Accès National aux données de transport;Données locales, régionales et nationales sur les transports (bus, vélos, voitures en libre service, transport aérien);Ministère chargé des Transports;Base de données;;https://transport.data.gouv.fr/;Communal;Au fil de l'eau;"Flottes de vélo/voitures en libre service; horaires de transports en commun; taux de remplissage des stations; position des véhicules";Open data
Transport;PoI,GES;Transports.data.gouv.fr - ZFE;Les 5 jeux de données de cette catégorie décrivent les zones à faibles émissions applicables en France. Ces zones sont représentées selon le schéma national.;transport.data.gouv;Base de données;;https://transport.data.gouv.fr/datasets?type=low-emission-zones;Communal;Au fil de l'eau;"Base Nationale des Zones à Faibles Émissions (BNZFE) ; Zone à Faibles Émissions - Grenoble-Alpes Métropole ;  Zone à Faibles Émissions - Ville de Paris
Zone à Faibles Émissions - Ville de Paris ; Zone à Faibles Émissions - Rouen Métropole ; Zone à Faibles Émissions - Toulouse Métropole ;  Zone à Faibles Émissions - Eurométropole de Strasbourg - Voies exceptionnelles ; Zone à Faibles Emission - Eurométropole de Strasbourg - Aire réglementée ; Zone à Faibles Émissions - Métropole de Lyon - Aire réglementée ;  Zone à Faibles Émissions - Métropole de Lyon - Voies exceptionnelles
Zone à Faibles Émissions - Métropole de Lyon - Voies exceptionnelles ; Zone à Faibles Émissions - Saint-Etienne Métropole";Open data
Economie;Conjoncture,Immobilier;"""Carte des loyers"" - Indicateurs de loyers d'annonce par commune en 2023";"La connaissance du niveau des loyers est importante pour garantir le bon fonctionnement du marché locatif et la conduite des politiques nationales et locales de l’habitat. La Direction Générale de l’Aménagement, du Logement et de la Nature (DGALN) a lancé en 2018 le projet de « carte des loyers » en s’associant d’une part à une équipe de recherche en économie d’Agrosup Dijon et de l’Institut national de la recherche en agronomique (INRAE), et d’autre part à SeLoger et leboncoin. En 2020, le projet a été repris par l’Agence Nationale pour l’Information sur le Logement (ANIL), qui a publié, en 2022 et en 2023, de nouvelles versions de la carte.
Ce partenariat innovant a permis de reconstituer une base de données avec 8 millions d’annonces locatives. A partir de ces données, l’équipe de recherche et l’ANIL ont développé une méthodologie d’estimation d’indicateurs, à l’échelle communale, du loyer (charges comprises) par m² pour les appartements et maisons.";Ministère de la Transition écologique;Base de données;Communale;https://www.data.gouv.fr/fr/datasets/carte-des-loyers-indicateurs-de-loyers-dannonce-par-commune-en-2022/;National;Annuelle;"LIBGEO ; Nom de la commune ; EPCI ; Siren de l’EPCI ; DEP ; Code du département ; REG ; Code de la région ;indicateur de loyer en €/m2 ; Respectivement borne basse et supérieure de l’intervalle de prédiction à 95% (€/m2)";Open data
Culture;PoI,Label,Culture;Maison des illustres;"Créé en 2011, le label « Maisons des Illustres » signale des lieux dont la vocation est de conserver et transmettre la mémoire de femmes et d'hommes qui se sont illustrés dans l'histoire politique, sociale et culturelle de la France.
Le label est attribué par le ministère de la Culture pour une durée de 5 ans renouvelable.";Ministère de la Culture;Base de données;Individuelle;https://www.data.gouv.fr/fr/datasets/liste-des-maisons-des-illustres/;National;Au fil de l'eau;"Nom; Nom Usuel; Auteur / Nom de l'illustre; Description;
Adresse complète; Adresse de l’entrée du public; Types;
Numéro et libellé de la voie; Complément d'adresse; Commune; Code Postal; Code INSEE; Département;
Code INSEE Département; Région";Open data
Economie;PoI;OpenStreetMap (OSM) : Base de données cartographiques collaborative.;Plateforme collaborative mondiale pour la collecte et le partage de données géographiques, incluant les routes, bâtiments, points d’intérêt, et infrastructures.;Fondation OpenStreetMap (OSMF);Base de données;individuelle;https://www.openstreetmap.org/;National;Au fil de l'eau;Coordonnées géographiques, types d’objets (routes, bâtiments, points d’intérêt), classifications (usage, infrastructures);Open data
Economie;PoI,Agenda local;Open Agenda;Les données Open Data de Open Agenda sont une ressource librement accessible qui recense et diffuse des événements culturels, touristiques et locaux en France. Elles incluent des informations détaillées telles que les titres, descriptions, lieux, horaires, tarifs, et catégories des événements. Ces données sont structurées pour faciliter leur réutilisation par des collectivités, développeurs ou acteurs privés, et sont souvent disponibles via des formats standards (API, fichiers JSON ou CSV) pour permettre leur intégration dans des applications, sites web ou autres systèmes d'information.;Open agenda;Base de données;Individuelle;OpenAgenda;National;Au fil de l'eau;"Les agendas sur OpenAgenda sont en données ouvertes (OpenData), c'est à dire :
téléchargeables sans qu'il soit nécessaire de créer un compte ou autre obstacle
les données respectent des formats standards
les données sont juridiquement en licence ouverte";Open data
Economie;Hôtellerie;INSEE;Recense toutes les nuitées passées par les résidents de France métropolitaine, que celles-ci aient été effectuées dans des hébergements marchands ou non-marchands, en métropole, dans les DOM ou à l'étranger;INSEE;Enquête;Individuelle;https://www.insee.fr/fr/metadonnees/source/serie/s2078;National;Mensuelle;"La production de statistiques conjoncturelles sur les comportements de mobilité touristique des résidents français ;
La production de statistiques conjoncturelles sur les dépenses touristiques des résidents français; notamment lors de leurs voyages à l’étranger ;
La production d’indicateurs statistiques sur le taux de départ annuel des résidents français ;
La production de statistiques structurelles sur les comportements touristiques des résidents français et des études sur les différents segments de clientèle touristique.";Open data
Economie;Fréquentation,Conjoncture,Hébergement;Données sur le tourisme à Paris;Données sur la fréquentation et les performances du secteur touristique à Paris;Comité régional du tourisme de Paris;Base de données;;https://data.iledefrance.fr/explore/?sort=modified&refine.theme=Sport+-+tourisme+-+loisirs;Communal;;"Sites labellisés patrimoine d'intérêt régional ; capacité des commnes en hébergement touristique en 2023 ; jardins ouverts en 2023 ; sites olympiques et paralympiques franciliens ; itinéraires des îles de loisirs ; parkings ; pistes cyclables ; evènements publics  ; principaux sites touristiques ; installations sportives ; etc.";Open data
Economie;Conjoncture,Fréquentation;City trends (FTO);Le réseau d'observation du tourisme urbain est désormais intégré à France Tourisme Observation ! Les membres du réseau City Trends peuvent partager et comparer leurs statistiques de fréquentation, et accéder à des simulateurs et nouveaux outils data (en cours de développement). Porté par six villes pionnières (Bordeaux, Nancy, Nice, Lyon, Saint-Etienne et Toulouse), le réseau est en cours d'élargissement à une douzaine de métropoles;Atout France;Dashboard;Communale;https://toucan-front.tourisme-datahub.fr/;National;Mensuelle;"PIB; Inflation; Revenu disponible; Taux de chomage";Limité
Sport & JOP;PoI,Sport;Equipements et infrastructures sportifs (Data ES);Le recensement national de l’intégralité des équipements sportifs, espaces et sites de pratiques constitue l’une des actions prioritaires conduite par le ministère chargé des sports. La démarche engagée a pour objectif de permettre une bonne connaissance partagée des équipements et sites existants et d’aider à une meilleure perception des inégalités territoriales dans leur répartition. C'est un élément préalable à toute démarche prospective d'aménagement du territoire.;Ministère des sports et des JOP;Base de données;Individuelle (équipement sportif);https://www.data.gouv.fr/fr/datasets/recensement-des-equipements-sportifs-espaces-et-sites-de-pratiques/;National;Ponctuelle;"DepCode;  EquActiviteSalleSpe;  ActCode; DepLib; ComInsee; EquipementId";Open data
Economie;Hôtellerie;Observatoire de la performance hôtelière;Observatoire sur les performances hôtellières au niveau régional UMIH x MKG;Union des métiers et des industries de l'hôtellerie (UMIH);Enquête;Régionale;https://umih.fr/fr/chiffres-cles/index.html;Régional;Mensuelle;"taux d'occupation; prix moyen; RevPAR";Open data
Données de référence;PoI,Label;Commune Loi Montagne;Cette base de données recense l'ensemble des communes classées en Loi Montagne. A ce jour, nous comptons plus de 5500 communes sont soumises à la Loi Montagne.;data.gouv.fr;Base de données;Communale;https://www.data.gouv.fr/fr/datasets/communes-de-la-loi-montagne-au-code-officiel-geographique-cog-2020-2022/#/resources;National;Au fil de l'eau;"ANNEE_COG;INSEE_REG2016; NOM_REG2016; INSEE_DEP; NOM_DEPT; INSEE_COM; NOM_COM; OLD_INSEE; OLD_NOM;AN_FUSION; Réglementation";Open data
Tourisme social;PoI;Programme 18:25;Statistiques du programme d'action sociale Départ 18:25;ANCV;Base de données;;https://www.data.gouv.fr/fr/datasets/statistiques-du-programme-daction-sociale-depart-18-25/;National;Au fil de l'eau;"Une base par onglet: Destination (pays) choisie dans le cadre du programme Départ 18:25 selon la région d'origine; Destination (pays) choisie dans le cadre du programme Départ 18:25 selon le département d'origine; Destination (département / France uniquement) choisie dans le cadre du programme Départ 18:25 selon le département d'origine; Destination (région / France uniquement) choisie dans le cadre du programme Départ 18:25 selon la région d'origine; Destination (pays) choisie dans le cadre du programme Départ 18:25 selon le mois de départ;";Open data
Economie;MICE;"Enquête ""L'emploi dans l'événement professionnel""";Nombre d’évènements professionnels, de salons, de séminaires et de congrès;"Union Française des Métiers de l'Événement (UNIMEV); INSEE; CCI Paris Ile de France.";Dashboard;Individuelle (Secteur MICE);https://www.unimev.fr/wp-content/uploads/2023/05/Enquete-emploi-rapport_-Vdef.pdf;National;Annuelle;"Données sur les besoins du secteur événementiel ; difficultés du recrutement et sur les entreprises du secteur";Open data
Economie;International;France Tourisme Observation;Marchés internationaux;Atout France;Enquête;;https://toucan-front.tourisme-datahub.fr/;National;Annuelle;"Mesure hébergement; fréquentation; consommation et transport avec des mesures pour d'autres pays européens";Limité
